819,194,378,555,14,452,93,253,872,467,829,791,391,511,49,769
930,130,953,180,92,647,715,94,160,133,900,639,669,735,186,481
934,613,475,381,683,447,219,501,311,996,27,432,859,291,387,886
800,10,379,945,43,422,426,981,382,705,435,239,244,966,47,718
587,195,871,36,450,178,553,312,255,796,233,447,565,228,888,7
859,182,193,770,877,757,484,72,211,13,400,480,183,154,518,301
567,938,471,816,237,261,308,992,661,483,558,502,487,120,235,655
135,874,100,252,196,936,172,732,622,304,228,41,601,832,463,728
374,389,1,197,891,495,144,248,847,290,884,609,949,887,904,801
567,207,781,621,663,976,461,115,205,386,788,887,857,357,389,730
107,895,852,858,123,462,22,715,746,753,188,439,167,280,145,603
877,858,129,36,657,685,674,800,715,838,247,173,178,842,19,171
690,6,304,618,729,998,113,427,455,955,329,890,480,371,600,121
166,836,417,478,534,804,247,384,159,754,255,618,953,321,120,852
437,897,237,309,484,195,528,753,238,283,219,944,251,940,547,782
