769,49,511,391,791,829,467,872,253,93,452,14,555,378,194,819
481,186,735,669,639,900,133,160,94,715,647,92,180,953,130,930
886,387,291,859,432,27,996,311,501,219,447,683,381,475,613,934
718,47,966,244,239,435,705,382,981,426,422,43,945,379,10,800
7,888,228,565,447,233,796,255,312,553,178,450,36,871,195,587
301,518,154,183,480,400,13,211,72,484,757,877,770,193,182,859
655,235,120,487,502,558,483,661,992,308,261,237,816,471,938,567
728,463,832,601,41,228,304,622,732,172,936,196,252,100,874,135
801,904,887,949,609,884,290,847,248,144,495,891,197,1,389,374
730,389,357,857,887,788,386,205,115,461,976,663,621,781,207,567
603,145,280,167,439,188,753,746,715,22,462,123,858,852,895,107
171,19,842,178,173,247,838,715,800,674,685,657,36,129,858,877
121,600,371,480,890,329,955,455,427,113,998,729,618,304,6,690
852,120,321,953,618,255,754,159,384,247,804,534,478,417,836,166
782,547,940,251,944,219,283,238,753,528,195,484,309,237,897,437
